code,description,last_updated
CB001007Service ordered by a renal dialysis facility (rdf) physician as part of the,Esrd bene part a snf-sep pay,2025-09-12
CC001007Procedure code change (use 'cc' when the procedure code submitted was changed,Procedure code change,2025-09-12
CD001007Amcc test has been ordered by an esrd facility or mcp physician that is part of,Amcc test for esrd or mcp md,2025-09-12
CE001007Amcc test has been ordered by an esrd facility or mcp physician that is a,Med neces amcc tst sep reimb,2025-09-12
CF001007Amcc test has been ordered by an esrd facility or mcp physician that is not,Amcc tst not composite rate,2025-09-12
CG001007Policy criteria applied,Policy criteria applied,2025-09-12
"CH0010070 percent impaired, limited or restricted","0 percent impaired, ltd, res",2025-09-12
"CI001007At least 1 percent but less than 20 percent impaired, limited or restricted",1 to <20 percent impaired,2025-09-12
"CJ001007At least 20 percent but less than 40 percent impaired, limited or restricted",20 to <40 percent impaired,2025-09-12
"CK001007At least 40 percent but less than 60 percent impaired, limited or restricted",40 to <60 percent impaired,2025-09-12
"CL001007At least 60 percent but less than 80 percent impaired, limited or restricted",60 to <80 percent impaired,2025-09-12
"CM001007At least 80 percent but less than 100 percent impaired, limited or restricted",80 to <100 percent impaired,2025-09-12
"CN001007100 percent impaired, limited or restricted","100 percent impaired, ltd",2025-09-12
CO001007Outpatient occupational therapy services furnished in whole or in part by an,Outpatient ot service by ota,2025-09-12
CP001007Adjunctive service related to a procedure assigned to a comprehensive,C-apc adjunctive service,2025-09-12
CQ001007Outpatient physical therapy services furnished in whole or in part by a,Outpatient pt service by pta,2025-09-12
CR001007Catastrophe/disaster related,Catastrophe/disaster related,2025-09-12
CS001007Cost-sharing waived for specified covid-19 testing-related services that result,Cost share waiver covid-19,2025-09-12
CT001007Computed tomography services furnished using equipment that does not meet each,Ct does not meet nema standa,2025-09-12
DA001007Oral health assessment by a licensed health professional other than a dentist,"Oral health assess, not dent",2025-09-12
"E1001007Upper left, eyelid",Upper left eyelid,2025-09-12
"E2001007Lower left, eyelid",Lower left eyelid,2025-09-12
"E3001007Upper right, eyelid",Upper right eyelid,2025-09-12
"E4001007Lower right, eyelid",Lower right eyelid,2025-09-12
EA001007Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, chemo-induced",2025-09-12
EB001007Erythropoietic stimulating agent (esa) administered to treat anemia due to,"Esa, anemia, radio-induced",2025-09-12
EC001007Erythropoietic stimulating agent (esa) administered to treat anemia not due to,"Esa, anemia, non-chemo/radio",2025-09-12
ED001007Hematocrit level has exceeded 39% (or hemoglobin level has exceeded 13.0 g/dl),Hct>39% or hgb>13g>=3 cycle,2025-09-12
EE001007Hematocrit level has not exceeded 39% (or hemoglobin level has not exceeded,Hct>39% or hgb>13g<3 cycle,2025-09-12
"EJ001007Subsequent claims for a defined course of therapy, e.g., epo, sodium",Subsequent claim,2025-09-12
EM001007Emergency reserve supply (for esrd benefit only),Emer reserve supply (esrd),2025-09-12
EP001007Service provided as part of medicaid early periodic screening diagnosis and,Medicaid epsdt program svc,2025-09-12
"ER001007Items and services furnished by a provider-based, off-campus emergency",Off-campus ed service,2025-09-12
ET001007Emergency services,Emergency services,2025-09-12
EX001007Expatriate beneficiary,Expatriate beneficiary,2025-09-12
EY001007No physician or other licensed health care provider order for this item or,No md order for item/service,2025-09-12
"F1001007Left hand, second digit","Left hand, second digit",2025-09-12
"F2001007Left hand, third digit","Left hand, third digit",2025-09-12
"F3001007Left hand, fourth digit","Left hand, fourth digit",2025-09-12
"F4001007Left hand, fifth digit","Left hand, fifth digit",2025-09-12
"F5001007Right hand, thumb","Right hand, thumb",2025-09-12
"F6001007Right hand, second digit","Right hand, second digit",2025-09-12
"F7001007Right hand, third digit","Right hand, third digit",2025-09-12
"F8001007Right hand, fourth digit","Right hand, fourth digit",2025-09-12
"F9001007Right hand, fifth digit","Right hand, fifth digit",2025-09-12
"FA001007Left hand, thumb","Left hand, thumb",2025-09-12
"FB001007Item provided without cost to provider, supplier or practitioner, or full",Item provided without cost,2025-09-12
FC001007Partial credit received for replaced device,"Part credit, replaced device",2025-09-12
FP001007Service provided as part of family planning program,Svc part of family plan pgm,2025-09-12
FQ001007The service was furnished using audio-only communication technology,Audio-only service,2025-09-12
"FR001007The supervising practitioner was present through two-way, audio/video",Two-way a/v dir supervision,2025-09-12
FS001007Split (or shared) evaluation and management visit,Split or shared e/m visit,2025-09-12
FT001007Unrelated evaluation and management (e/m) visit on the same day as another e/m,"Separate, unrelated e/m",2025-09-12
FX001007X-ray taken using film,X-ray taken using film,2025-09-12
FY001007X-ray taken using computed radiography technology/cassette-based imaging,Computed radiography x-ray,2025-09-12
"G0001007Telehealth services for diagnosis, evaluation, or treatment, of symptoms of an",Telestroke,2025-09-12
G1001007Most recent urr reading of less than 60,Urr reading of less than 60,2025-09-12
G2001007Most recent urr reading of 60 to 64.9,Urr reading of 60 to 64.9,2025-09-12
G3001007Most recent urr reading of 65 to 69.9,Urr  reading of 65 to 69.9,2025-09-12
G4001007Most recent urr reading of 70 to 74.9,Urr reading of 70 to 74.9,2025-09-12
G5001007Most recent urr reading of 75 or greater,Urr reading of 75 or greater,2025-09-12
G6001007Esrd patient for whom less than six dialysis sessions have been provided in a,Esrd patient <6 dialysis/mth,2025-09-12
G7001007Pregnancy resulted from rape or incest or pregnancy certified by physician as,Payment limits do not apply,2025-09-12
"G8001007Monitored anesthesia care (mac) for deep complex, complicated, or markedly",Monitored anesthesia care,2025-09-12
G9001007Monitored anesthesia care for patient who has history of severe,Mac for at risk patient,2025-09-12
"GA001007Waiver of liability statement issued as required by payer policy, individual",Liability waiver ind case,2025-09-12
GB001007Claim being re-submitted for payment because it is no longer covered under a,Claim resubmitted,2025-09-12
GC001007This service has been performed in part by a resident under the direction of a,Resident/teaching phys serv,2025-09-12
GD001007Units of service exceeds medically unlikely edit value and represents,Unit of service > mue value,2025-09-12
GE001007This service has been performed by a resident without the presence of a,Resident prim care exception,2025-09-12
"GF001007Non-physician (e.g. nurse practitioner (np), certified registered nurse",Nonphysician serv c a hosp,2025-09-12
GG001007Performance and payment of a screening mammogram and diagnostic mammogram on,Payment screen mam + diagmam,2025-09-12
GH001007Diagnostic mammogram converted from screening mammogram on same day,Diag mammo to screening mamo,2025-09-12
"GJ001007""opt out"" physician or practitioner emergency or urgent service",Opt out provider of er srvc,2025-09-12
GK001007Reasonable and necessary item/service associated with a ga or gz modifier,Actual item/service ordered,2025-09-12
"GL001007Medically unnecessary upgrade provided instead of non-upgraded item, no charge,","Upgraded item, no charge",2025-09-12
GM001007Multiple patients on one ambulance trip,Multiple transports,2025-09-12
GN001007Services delivered under an outpatient speech language pathology plan of care,Op speech language service,2025-09-12
GO001007Services delivered under an outpatient occupational therapy plan of care,Op occupational therapy serv,2025-09-12
GP001007Services delivered under an outpatient physical therapy plan of care,Op pt services,2025-09-12
GQ001007Via asynchronous telecommunications system,Telehealth store and forward,2025-09-12
GR001007This service was performed in whole or in part by a resident in a department of,Service by va resident,2025-09-12
GS001007Dosage of erythropoietin stimulating agent has been reduced and maintained in,Epo/darbepoietin reduced 25%,2025-09-12
GT001007Via interactive audio and video telecommunication systems,Interactivetelecommunication,2025-09-12
"GU001007Waiver of liability statement issued as required by payer policy, routine notic",Liability waiver rout notice,2025-09-12
GV001007Attending physician not employed or paid under arrangement by the patient's,Attending phys not hospice,2025-09-12
GW001007Service not related to the hospice patient's terminal condition,Service unrelated to term co,2025-09-12
"GX001007Notice of liability issued, voluntary under payer policy",Voluntary liability notice,2025-09-12
"GY001007Item or service statutorily excluded, does not meet the definition of any",Statutorily excluded,2025-09-12
GZ001007Item or service expected to be denied as not reasonable and necessary,Not reasonable and necessary,2025-09-12
H9001007Court-ordered,Court-ordered,2025-09-12
HA001007Child/adolescent program,Child/adolescent program,2025-09-12
"HB001007Adult program, non geriatric",Adult program non-geriatric,2025-09-12
"HC001007Adult program, geriatric",Adult program geriatric,2025-09-12
HD001007Pregnant/parenting women's program,Pregnant/parenting program,2025-09-12
HE001007Mental health program,Mental health program,2025-09-12
HF001007Substance abuse program,Substance abuse program,2025-09-12
HG001007Opioid addiction treatment program,Opioid addiction tx program,2025-09-12
HH001007Integrated mental health/substance abuse program,Mental hlth/substance abs pr,2025-09-12
HI001007Integrated mental health and intellectual disability/developmental disabilities,Men hlth intel/dev disab pgm,2025-09-12
HJ001007Employee assistance program,Employee assistance program,2025-09-12
HK001007Specialized mental health programs for high-risk populations,Spec hgh rsk mntl hlth pop p,2025-09-12
HL001007Intern,Intern,2025-09-12
HM001007Less than bachelor degree level,Less than bachelor degree lv,2025-09-12
HN001007Bachelors degree level,Bachelors degree level,2025-09-12
HO001007Masters degree level,Masters degree level,2025-09-12
HP001007Doctoral level,Doctoral level,2025-09-12
HQ001007Group setting,Group setting,2025-09-12
HR001007Family/couple with client present,Family/couple w client prsnt,2025-09-12
HS001007Family/couple without client present,Family/couple w/o client prs,2025-09-12
HT001007Multi-disciplinary team,Multi-disciplinary team,2025-09-12
HU001007Funded by child welfare agency,Child welfare agency funded,2025-09-12
HV001007Funded state addictions agency,Funded state addiction agncy,2025-09-12
HW001007Funded by state mental health agency,State mntl hlth agncy funded,2025-09-12
HX001007Funded by county/local agency,County/local agency funded,2025-09-12
HY001007Funded by juvenile justice agency,Funded by juvenile justice,2025-09-12
HZ001007Funded by criminal justice agency,Criminal justice agncy fund,2025-09-12
J1001007Competitive acquisition program no-pay submission for a prescription number,Cap no-pay for prescript num,2025-09-12
"J2001007Competitive acquisition program, restocking of emergency drugs after emergency",Cap restock of emerg drugs,2025-09-12
"J3001007Competitive acquisition program (cap), drug not available through cap as",Cap drug unavail thru cap,2025-09-12
J4001007Dmepos item subject to dmepos competitive bidding program that is furnished by,Dmepos comp bid furn by hosp,2025-09-12
J5001007Off-the-shelf orthotic subject to dmepos competitive bidding program that is,Dmepos comp bid fur by pt/ot,2025-09-12
JA001007Administered intravenously,Administered intravenously,2025-09-12
JB001007Administered subcutaneously,Administered subcutaneously,2025-09-12
JC001007Skin substitute used as a graft,Skin substitute graft,2025-09-12
JD001007Skin substitute not used as a graft,Skin sub not used as a graft,2025-09-12
JE001007Administered via dialysate,Administered via dialysate,2025-09-12
JF001007Compounded drug,Compounded drug,2025-09-12
"JG001007Drug or biological acquired with 340b drug pricing program discount, reported",340b acquired drug,2025-09-12
JK001007One month supply or less of drug or biological,Drug supply 1 month or less,2025-09-12
JL001007Three month supply of drug or biological,Drug 3 month supply,2025-09-12
JW001007Drug amount discarded/not administered to any patient,Discarded drug not administe,2025-09-12
JZ001007Zero drug amount discarded/not administered to any patient,Zero drug wasted,2025-09-12
K0001007Lower extremity prosthesis functional level 0 - does not have the ability or,Lwr ext prost functnl lvl 0,2025-09-12
K1001007Lower extremity prosthesis functional level 1 - has the ability or potential to,Lwr ext prost functnl lvl 1,2025-09-12
K2001007Lower extremity prosthesis functional level 2 - has the ability or potential,Lwr ext prost functnl lvl 2,2025-09-12
K3001007Lower extremity prosthesis functional level 3 - has the ability or potential,Lwr ext prost functnl lvl 3,2025-09-12
K4001007Lower extremity prosthesis functional level 4 - has the ability or potential,Lwr ext prost functnl lvl 4,2025-09-12
KA001007Add on option/accessory for wheelchair,Wheelchair add-on option/acc,2025-09-12
"KB001007Beneficiary requested upgrade for abn, more than 4 modifiers identified on clai",>4 modifiers on claim,2025-09-12
KC001007Replacement of special power wheelchair interface,Repl special pwr wc intrface,2025-09-12
KD001007Drug or biological infused through dme,Drug/biological dme infused,2025-09-12
KE001007Bid under round one of the dmepos competitive bidding program for use with,Bid under round 1 dmepos cb,2025-09-12
KF001007Item designated by fda as class iii device,Fda class iii device,2025-09-12
KG001007Dmepos item subject to dmepos competitive bidding program number 1,Dmepos comp bid prgm no 1,2025-09-12
"KH001007Dmepos item, initial claim, purchase or first month rental","Dmepos ini clm, pur/1 mo rnt",2025-09-12
"KI001007Dmepos item, second or third month rental",Dmepos 2nd or 3rd mo rental,2025-09-12
"KJ001007Dmepos item, parenteral enteral nutrition (pen) pump or capped rental, months",Dmepos pen pmp or 4-15mo rnt,2025-09-12
KK001007Dmepos item subject to dmepos competitive bidding program number 2,Dmepos comp bid prgm no 2,2025-09-12
KL001007Dmepos item delivered via mail,Dmepos mailorder comp bid,2025-09-12
KM001007Replacement of facial prosthesis including new impression/moulage,Rplc facial prosth new imp,2025-09-12
KN001007Replacement of facial prosthesis using previous master model,Rplc facial prosth old mod,2025-09-12
KO001007Single drug unit dose formulation,Single drug unit dose form,2025-09-12
KP001007First drug of a multiple drug unit dose formulation,First drug of multi drug u d,2025-09-12
KQ001007Second or subsequent drug of a multiple drug unit dose formulation,2nd/subsqnt drg multi drg ud,2025-09-12
"KR001007Rental item, billing for partial month",Rental item partial month,2025-09-12
KS001007Glucose monitor supply for diabetic beneficiary not treated with insulin,Glucose monitor supply,2025-09-12
KT001007Beneficiary resides in a competitive bidding area and travels outside that,Item from noncontract supply,2025-09-12
KU001007Dmepos item subject to dmepos competitive bidding program number 3,Dmepos comp bid prgm no 3,2025-09-12
KV001007Dmepos item subject to dmepos competitive bidding program that is furnished as,"Dmepos item, profession serv",2025-09-12
KW001007Dmepos item subject to dmepos competitive bidding program number 4,Dmepos comp bid prgm no 4,2025-09-12
KX001007Requirements specified in the medical policy have been met,Documentation on file,2025-09-12
KY001007Dmepos item subject to dmepos competitive bidding program number 5,Dmepos comp bid prgm no 5,2025-09-12
KZ001007New coverage not implemented by managed care,New cov not implement by m+c,2025-09-12
L1001007Provider attestation that the hospital laboratory test(s) is not packaged under,Separately payable lab test,2025-09-12
LC001007Left circumflex coronary artery,Lft circum coronary artery,2025-09-12
LD001007Left anterior descending coronary artery,Left ant des coronary artery,2025-09-12
LL001007Lease/rental (use the 'll' modifier when dme equipment rental is to be applied,Lease/rental (appld to pur),2025-09-12
LM001007Left main coronary artery,Left main coronary artery,2025-09-12
LR001007Laboratory round trip,Laboratory round trip,2025-09-12
LS001007Fda-monitored intraocular lens implant,Fda-monitored iol implant,2025-09-12
LT001007Left side (used to identify procedures performed on the left side of the body),Left side,2025-09-12
LU001007Fractionated payment,Fractionated payment,2025-09-12
M2001007Medicare secondary payer (msp),Medicare secondary payer,2025-09-12
MA001007Ordering professional is not required to consult a clinical decision support,Emer med cond susp/confirm,2025-09-12
MB001007Ordering professional is not required to consult a clinical decision support,"Auc hardship, insuf internet",2025-09-12
MC001007Ordering professional is not required to consult a clinical decision support,"Auc hardship, vendor issues",2025-09-12
MD001007Ordering professional is not required to consult a clinical decision support,"Auc hardship, extreme circ",2025-09-12
ME001007The order for this service adheres to appropriate use criteria in the clinical,Order adheres to auc,2025-09-12
MF001007The order for this service does not adhere to the appropriate use criteria in,Order does not adhere to auc,2025-09-12
MG001007The order for this service does not have applicable appropriate use criteria in,Auc not applicable to order,2025-09-12
MH001007Unknown if ordering professional consulted a clinical decision support,Auc consult not provided,2025-09-12
MS001007Six month maintenance and servicing fee for reasonable and necessary parts and,6-mo maint/svc fee parts/lbr,2025-09-12
N1001007Group 1 oxygen coverage criteria met,Group 1 oxygen cov crit met,2025-09-12
N2001007Group 2 oxygen coverage criteria met,Group 2 oxygen cov crit met,2025-09-12
N3001007Group 3 oxygen coverage criteria met,Group 3 oxygen cov crit met,2025-09-12
"NB001007Nebulizer system, any type, fda-cleared for use with specific drug",Drug specific nebulizer,2025-09-12
NR001007New when rented (use the 'nr' modifier when dme which was new at the time of,New when rented,2025-09-12
NU001007New equipment,New equipment,2025-09-12
P1001007A normal healthy patient,Normal healthy patient,2025-09-12
P2001007A patient with mild systemic disease,Patient w/mild syst disease,2025-09-12
P3001007A patient with severe systemic disease,Patient w/severe sys disease,2025-09-12
P4001007A patient with severe systemic disease that is a constant threat to life,Pt w/sev sys dis threat life,2025-09-12
P5001007A moribund patient who is not expected to survive without the operation,Pt not expect surv w/o oper,2025-09-12
P6001007A declared brain-dead patient whose organs are being removed for donor purposes,Brain-dead pt organs removed,2025-09-12
PA001007Surgical or other invasive procedure on wrong body part,"Surgery, wrong body part",2025-09-12
PB001007Surgical or other invasive procedure on wrong patient,"Surgery, wrong patient",2025-09-12
PC001007Wrong surgery or other invasive procedure on patient,Wrong surgery on patient,2025-09-12
PD001007Diagnostic or related non diagnostic item or service provided in a wholly owned,Inp admit w/in 3 days,2025-09-12
PI001007Positron emission tomography (pet) or pet/computed tomography (ct) to inform,Pet tumor init tx strat,2025-09-12
PL001007Progressive addition lenses,Progressive addition lenses,2025-09-12
PM001007Post mortem,Post mortem,2025-09-12
"PN001007Non-excepted service provided at an off-campus, outpatient, provider-based",Non-excepted off-campus svc,2025-09-12
"PO001007Excepted service provided at an off-campus, outpatient, provider-based",Excepted off-campus service,2025-09-12
PS001007Positron emission tomography (pet) or pet/computed tomography (ct) to inform,Pet tumor subsq tx strategy,2025-09-12
PT001007Colorectal cancer screening test; converted to diagnostic test or other,Clrctal screen to diagn,2025-09-12
Q0001007Investigational clinical service provided in a clinical research study that is,Invest clinical research,2025-09-12
Q1001007Routine clinical service provided in a clinical research study that is in an,Routine clinical research,2025-09-12
Q2001007Demonstration procedure/service,"Demo procedure, service",2025-09-12
Q3001007Live kidney donor surgery and related services,Live donor surgery/services,2025-09-12
Q4001007Service for ordering/referring physician qualifies as a service exemption,Svc exempt - ordrg/rfrng md,2025-09-12
Q5001007Service furnished under a reciprocal billing arrangement by a substitute,Recip bill arr subs md or pt,2025-09-12
Q6001007Service furnished under a fee-for-time compensation arrangement by a substitute,Fee/time comp subst md or pt,2025-09-12
Q7001007One class a finding,One class a finding,2025-09-12
Q8001007Two class b findings,Two class b findings,2025-09-12
Q9001007One class b and two class c findings,1 class b & 2 class c fndngs,2025-09-12
QA001007Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg sta day/night o2 < 1 lpm,2025-09-12
QB001007Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg day/nite o2 > 4 lpm/port,2025-09-12
QC001007Single channel monitoring,Single channel monitoring,2025-09-12
QD001007Recording and storage in solid state memory by a digital recorder,Rcrdg/strg in sld st memory,2025-09-12
QE001007Prescribed amount of stationary oxygen while at rest is less than 1 liter per,Stationary o2 @ rest <1 lpm,2025-09-12
QF001007Prescribed amount of stationary oxygen while at rest exceeds 4 liters per,Station o2 @ rest >4lpm/port,2025-09-12
QG001007Prescribed amount of stationary oxygen while at rest is greater than 4 liters,Station o2 @ rest > 4 lpm,2025-09-12
QH001007Oxygen conserving device is being used with an oxygen delivery system,Oxygen cnsrvg dvc w del sys,2025-09-12
"QJ001007Services/items provided to a prisoner or patient in state or local custody,",Patient in state/locl custod,2025-09-12
"QK001007Medical direction of two, three, or four concurrent anesthesia procedures",Med dir 2-4 cncrnt anes proc,2025-09-12
QL001007Patient pronounced dead after ambulance called,Patient died after amb call,2025-09-12
QM001007Ambulance service provided under arrangement by a provider of services,Ambulance arr by provider,2025-09-12
QN001007Ambulance service furnished directly by a provider of services,Ambulance furn by provider,2025-09-12
QP001007Documentation is on file showing that the laboratory test(s) was ordered,Individually ordered lab tst,2025-09-12
QQ001007Ordering professional consulted a qualified clinical decision support mechanism,Qualified cdsm consulted,2025-09-12
QR001007Prescribed amounts of stationary oxygen for daytime use while at rest and,Avg sta day/night o2 > 4 lpm,2025-09-12
QS001007Monitored anesthesia care service,Monitored anesthesia care,2025-09-12
QT001007Recording and storage on tape by an analog tape recorder,Rcrdg/strg tape analog recdr,2025-09-12
QW001007Clia waived test,Clia waived test,2025-09-12
QX001007Crna service: with medical direction by a physician,Crna svc w/ md med direction,2025-09-12
QY001007Medical direction of one certified registered nurse anesthetist (crna) by an,Medically directed crna,2025-09-12
QZ001007Crna service: without medical direction by a physician,Crna svc w/o med dir by md,2025-09-12
"RA001007Replacement of a dme, orthotic or prosthetic item",Replacement of dme item,2025-09-12
"RB001007Replacement of a part of a dme, orthotic or prosthetic item furnished as part","Replacement part, dme item",2025-09-12
RC001007Right coronary artery,Right coronary artery,2025-09-12
"RD001007Drug provided to beneficiary, but not administered ""incident-to""",Drug admin not incident-to,2025-09-12
RE001007Furnished in full compliance with fda-mandated risk evaluation and mitigation,Furnish full compliance rems,2025-09-12
RI001007Ramus intermedius coronary artery,Ramus intermedius cor artery,2025-09-12
RR001007Rental (use the 'rr' modifier when dme is to be rented),Rental (dme),2025-09-12
RT001007Right side (used to identify procedures performed on the right side of the body,Right side,2025-09-12
SA001007Nurse practitioner rendering service in collaboration with a physician,Nurse practitioner w physici,2025-09-12
SB001007Nurse midwife,Nurse midwife,2025-09-12
SC001007Medically necessary service or supply,Medically necessary serv/sup,2025-09-12
"SD001007Services provided by registered nurse with specialized, highly technical home",Serv by home infusion rn,2025-09-12
SE001007State and/or federally-funded programs/services,State/fed funded program/ser,2025-09-12
SF001007Second opinion ordered by a professional review organization (pro) per section,2nd opinion ordered by pro,2025-09-12
SG001007Ambulatory surgical center (asc) facility service,Asc facility service,2025-09-12
SH001007Second concurrently administered infusion therapy,2nd concurrent infusion ther,2025-09-12
SJ001007Third or more concurrently administered infusion therapy,3rd concurrent infusion ther,2025-09-12
SK001007Member of high risk population (use only with codes for immunization),High risk population,2025-09-12
SL001007State supplied vaccine,State supplied vaccine,2025-09-12
SM001007Second surgical opinion,Second opinion,2025-09-12
SN001007Third surgical opinion,Third opinion,2025-09-12
SQ001007Item ordered by home health,Item ordered by home health,2025-09-12
SS001007Home infusion services provided in the infusion suite of the iv therapy provide,Hit in infusion suite,2025-09-12
ST001007Related to trauma or injury,Related to trauma or injury,2025-09-12
SU001007Procedure performed in physician's office (to denote use of facility and,Performed in phys office,2025-09-12
SV001007Pharmaceuticals delivered to patient's home but not utilized,Drugs delivered not used,2025-09-12
SW001007Services provided by a certified diabetic educator,Serv by cert diab educator,2025-09-12
SY001007Persons who are in close contact with member of high-risk population (use only,Contact w/high-risk pop,2025-09-12
SZ001007Habilitative services,Habilitative services,2025-09-12
"T1001007Left foot, second digit","Left foot, second digit",2025-09-12
"T2001007Left foot, third digit","Left foot, third digit",2025-09-12
"T3001007Left foot, fourth digit","Left foot, fourth digit",2025-09-12
"T4001007Left foot, fifth digit","Left foot, fifth digit",2025-09-12
"T5001007Right foot, great toe","Right foot, great toe",2025-09-12
"T6001007Right foot, second digit","Right foot, second digit",2025-09-12
"T7001007Right foot, third digit","Right foot, third digit",2025-09-12
"T8001007Right foot, fourth digit","Right foot, fourth digit",2025-09-12
"T9001007Right foot, fifth digit","Right foot, fifth digit",2025-09-12
"TA001007Left foot, great toe","Left foot, great toe",2025-09-12
"TB001007Drug or biological acquired with 340b drug pricing program discount, reported",340b drug,2025-09-12
"TC001007Technical component; under certain circumstances, a charge may be made for the",Technical component,2025-09-12
TD001007Rn,Rn,2025-09-12
TE001007Lpn/lvn,Lpn/lvn,2025-09-12
TF001007Intermediate level of care,Intermediate level of care,2025-09-12
TG001007Complex/high tech level of care,Complex/high tech level care,2025-09-12
"TH001007Obstetrical treatment/services, prenatal or postpartum",Ob tx/srvcs prenatl/postpart,2025-09-12
"TJ001007Program group, child and/or adolescent",Child/adolescent program gp,2025-09-12
"TK001007Extra patient or passenger, non-ambulance",Extra patient or passenger,2025-09-12
TL001007Early intervention/individualized family service plan (ifsp),Early intervention ifsp,2025-09-12
TM001007Individualized education program (iep),Individualized ed prgrm(iep),2025-09-12
TN001007Rural/outside providers' customary service area,Rural/out of service area,2025-09-12
"TP001007Medical transport, unloaded vehicle",Med transprt unloaded vehicl,2025-09-12
TQ001007Basic life support transport by a volunteer ambulance provider,Bls by volunteer amb providr,2025-09-12
TR001007School-based individualized education program (iep) services provided outside,School-based iep out of dist,2025-09-12
TS001007Follow-up service,Follow-up service,2025-09-12
TT001007Individualized service provided to more than one patient in same setting,Additional patient,2025-09-12
"TU001007Special payment rate, overtime",Overtime payment rate,2025-09-12
"TV001007Special payment rates, holidays/weekends",Holiday/weekend payment rate,2025-09-12
TW001007Back-up equipment,Back-up equipment,2025-09-12
"U1001007Medicaid level of care 1, as defined by each state",M/caid care lev 1 state def,2025-09-12
"U2001007Medicaid level of care 2, as defined by each state",M/caid care lev 2 state def,2025-09-12
"U3001007Medicaid level of care 3, as defined by each state",M/caid care lev 3 state def,2025-09-12
"U4001007Medicaid level of care 4, as defined by each state",M/caid care lev 4 state def,2025-09-12
"U5001007Medicaid level of care 5, as defined by each state",M/caid care lev 5 state def,2025-09-12
"U6001007Medicaid level of care 6, as defined by each state",M/caid care lev 6 state def,2025-09-12
"U7001007Medicaid level of care 7, as defined by each state",M/caid care lev 7 state def,2025-09-12
"U8001007Medicaid level of care 8, as defined by each state",M/caid care lev 8 state def,2025-09-12
"U9001007Medicaid level of care 9, as defined by each state",M/caid care lev 9 state def,2025-09-12
"UA001007Medicaid level of care 10, as defined by each state",M/caid care lev 10 state def,2025-09-12
"UB001007Medicaid level of care 11, as defined by each state",M/caid care lev 11 state def,2025-09-12
